20.000000,20.000000,20.000000,20.000000,20.493200,20.491400,20.491400,20.491400,0.0 
20.374970,20.060780,20.000000,20.000000,20.485570,20.490210,20.491400,20.491400,0.0 
20.749940,20.121560,20.000000,20.000000,20.477940,20.489020,20.491400,20.491400,0.0 
21.124910,20.182340,20.000000,20.000000,20.470310,20.487830,20.491400,20.491400,0.0 
21.499880,20.243120,20.000000,20.000000,20.462680,20.486640,20.491400,20.491400,0.0 
21.874850,20.303900,20.000000,20.000000,20.455050,20.485450,20.491400,20.491400,0.0 
22.249820,20.364680,20.000000,20.000000,20.447420,20.484260,20.491400,20.491400,0.0 
22.624790,20.425460,20.000000,20.000000,20.439790,20.483070,20.491400,20.491400,0.0 
22.999760,20.486240,20.000000,20.000000,20.432160,20.481880,20.491400,20.491400,0.0 
23.374730,20.547020,20.000000,20.000000,20.424530,20.480690,20.491400,20.491400,0.0 
23.749700,20.607800,20.000000,20.000000,20.416900,20.479500,20.491400,20.491400,0.0 
24.163550,20.834710,20.043470,20.053960,20.408320,20.474390,20.490390,20.489960,0.0 
24.577400,21.061620,20.086940,20.107920,20.399740,20.469280,20.489380,20.488520,0.0 
24.991250,21.288530,20.130410,20.161880,20.391160,20.464170,20.488370,20.487080,0.0 
25.405100,21.515440,20.173880,20.215840,20.382580,20.459060,20.487360,20.485640,0.0 
25.818950,21.742350,20.217350,20.269800,20.374000,20.453950,20.486350,20.484200,0.0 
26.232800,21.969260,20.260820,20.323760,20.365420,20.448840,20.485340,20.482760,0.0 
26.646650,22.196170,20.304290,20.377720,20.356840,20.443730,20.484330,20.481320,0.0 
27.060500,22.423080,20.347760,20.431680,20.348260,20.438620,20.483320,20.479880,0.0 
27.474350,22.649990,20.391230,20.485640,20.339680,20.433510,20.482310,20.478440,0.0 
27.888200,22.876900,20.434700,20.539600,20.331100,20.428400,20.481300,20.477000,0.0 
28.131320,23.051700,20.599630,20.696000,20.325610,20.424330,20.477090,20.473120,0.0 
28.374440,23.226500,20.764560,20.852400,20.320120,20.420260,20.472880,20.469240,0.0 
28.617560,23.401300,20.929490,21.008800,20.314630,20.416190,20.468670,20.465360,0.0 
28.860680,23.576100,21.094420,21.165200,20.309140,20.412120,20.464460,20.461480,0.0 
29.103800,23.750900,21.259350,21.321600,20.303650,20.408050,20.460250,20.457600,0.0 
29.346920,23.925700,21.424280,21.478000,20.298160,20.403980,20.456040,20.453720,0.0 
29.590040,24.100500,21.589210,21.634400,20.292670,20.399910,20.451830,20.449840,0.0 
29.833160,24.275300,21.754140,21.790800,20.287180,20.395840,20.447620,20.445960,0.0 
30.076280,24.450100,21.919070,21.947200,20.281690,20.391770,20.443410,20.442080,0.0 
30.319400,24.624900,22.084000,22.103600,20.276200,20.387700,20.439200,20.438200,0.0 
30.667000,24.777610,22.169310,22.187220,20.268980,20.384120,20.436890,20.435960,0.0 
31.014600,24.930320,22.254620,22.270840,20.261760,20.380540,20.434580,20.433720,0.0 
31.362200,25.083030,22.339930,22.354460,20.254540,20.376960,20.432270,20.431480,0.0 
31.709800,25.235740,22.425240,22.438080,20.247320,20.373380,20.429960,20.429240,0.0 
32.057400,25.388450,22.510550,22.521700,20.240100,20.369800,20.427650,20.427000,0.0 
32.405000,25.541160,22.595860,22.605320,20.232880,20.366220,20.425340,20.424760,0.0 
32.752600,25.693870,22.681170,22.688940,20.225660,20.362640,20.423030,20.422520,0.0 
33.100200,25.846580,22.766480,22.772560,20.218440,20.359060,20.420720,20.420280,0.0 
33.447800,25.999290,22.851790,22.856180,20.211220,20.355480,20.418410,20.418040,0.0 
33.795400,26.152000,22.937100,22.939800,20.204000,20.351900,20.416100,20.415800,0.0 
34.495910,26.474390,23.060620,23.060680,20.189250,20.344750,20.413020,20.412780,0.0 
35.196420,26.796780,23.184140,23.181560,20.174500,20.337600,20.409940,20.409760,0.0 
35.896930,27.119170,23.307660,23.302440,20.159750,20.330450,20.406860,20.406740,0.0 
36.597440,27.441560,23.431180,23.423320,20.145000,20.323300,20.403780,20.403720,0.0 
37.297950,27.763950,23.554700,23.544200,20.130250,20.316150,20.400700,20.400700,0.0 
37.998460,28.086340,23.678220,23.665080,20.115500,20.309000,20.397620,20.397680,0.0 
38.698970,28.408730,23.801740,23.785960,20.100750,20.301850,20.394540,20.394660,0.0 
39.399480,28.731120,23.925260,23.906840,20.086000,20.294700,20.391460,20.391640,0.0 
40.099990,29.053510,24.048780,24.027720,20.071250,20.287550,20.388380,20.388620,0.0 
40.800500,29.375900,24.172300,24.148600,20.056500,20.280400,20.385300,20.385600,0.0 
41.613350,29.854950,24.373690,24.339320,20.039000,20.269390,20.380260,20.380830,0.0 
42.426200,30.334000,24.575080,24.530040,20.021500,20.258380,20.375220,20.376060,0.0 
43.239050,30.813050,24.776470,24.720760,20.004000,20.247370,20.370180,20.371290,0.0 
44.051900,31.292100,24.977860,24.911480,19.986500,20.236360,20.365140,20.366520,0.0 
44.864750,31.771150,25.179250,25.102200,19.969000,20.225350,20.360100,20.361750,0.0 
45.677600,32.250200,25.380640,25.292920,19.951500,20.214340,20.355060,20.356980,0.0 
46.490450,32.729250,25.582030,25.483640,19.934000,20.203330,20.350020,20.352210,0.0 
47.303300,33.208300,25.783420,25.674360,19.916500,20.192320,20.344980,20.347440,0.0 
48.116150,33.687350,25.984810,25.865080,19.899000,20.181310,20.339940,20.342670,0.0 
48.929000,34.166400,26.186200,26.055800,19.881500,20.170300,20.334900,20.337900,0.0 
49.848240,34.724160,26.456720,26.292960,19.861690,20.157150,20.327740,20.331570,0.0 
50.767480,35.281920,26.727240,26.530120,19.841880,20.144000,20.320580,20.325240,0.0 
51.686720,35.839680,26.997760,26.767280,19.822070,20.130850,20.313420,20.318910,0.0 
52.605960,36.397440,27.268280,27.004440,19.802260,20.117700,20.306260,20.312580,0.0 
53.525200,36.955200,27.538800,27.241600,19.782450,20.104550,20.299100,20.306250,0.0 
54.444440,37.512960,27.809320,27.478760,19.762640,20.091400,20.291940,20.299920,0.0 
55.363680,38.070720,28.079840,27.715920,19.742830,20.078250,20.284780,20.293590,0.0 
56.282920,38.628480,28.350360,27.953080,19.723020,20.065100,20.277620,20.287260,0.0 
57.202160,39.186240,28.620880,28.190240,19.703210,20.051950,20.270460,20.280930,0.0 
58.121400,39.744000,28.891400,28.427400,19.683400,20.038800,20.263300,20.274600,0.0 
58.764440,40.262520,29.219980,28.677200,19.668460,20.025750,20.254040,20.267350,0.0 
59.407480,40.781040,29.548560,28.927000,19.653520,20.012700,20.244780,20.260100,0.0 
60.050520,41.299560,29.877140,29.176800,19.638580,19.999650,20.235520,20.252850,0.0 
60.693560,41.818080,30.205720,29.426600,19.623640,19.986600,20.226260,20.245600,0.0 
61.336600,42.336600,30.534300,29.676400,19.608700,19.973550,20.217000,20.238350,0.0 
61.979640,42.855120,30.862880,29.926200,19.593760,19.960500,20.207740,20.231100,0.0 
62.622680,43.373640,31.191460,30.176000,19.578820,19.947450,20.198480,20.223850,0.0 
63.265720,43.892160,31.520040,30.425800,19.563880,19.934400,20.189220,20.216600,0.0 
63.908760,44.410680,31.848620,30.675600,19.548940,19.921350,20.179960,20.209350,0.0 
64.551800,44.929200,32.177200,30.925400,19.534000,19.908300,20.170700,20.202100,0.0 
64.731880,45.164330,32.475540,31.096640,19.529130,19.901430,20.161170,20.196000,0.0 
64.911960,45.399460,32.773880,31.267880,19.524260,19.894560,20.151640,20.189900,0.0 
65.092040,45.634590,33.072220,31.439120,19.519390,19.887690,20.142110,20.183800,0.0 
65.272120,45.869720,33.370560,31.610360,19.514520,19.880820,20.132580,20.177700,0.0 
65.452200,46.104850,33.668900,31.781600,19.509650,19.873950,20.123050,20.171600,0.0 
65.632280,46.339980,33.967240,31.952840,19.504780,19.867080,20.113520,20.165500,0.0 
65.812360,46.575110,34.265580,32.124080,19.499910,19.860210,20.103990,20.159400,0.0 
65.992440,46.810240,34.563920,32.295320,19.495040,19.853340,20.094460,20.153300,0.0 
66.172520,47.045370,34.862260,32.466560,19.490170,19.846470,20.084930,20.147200,0.0 
66.352600,47.280500,35.160600,32.637800,19.485300,19.839600,20.075400,20.141100,0.0 
66.497810,47.378330,35.379660,32.734080,19.481980,19.836630,20.067320,20.136500,0.0 
66.643020,47.476160,35.598720,32.830360,19.478660,19.833660,20.059240,20.131900,0.0 
66.788230,47.573990,35.817780,32.926640,19.475340,19.830690,20.051160,20.127300,0.0 
66.933440,47.671820,36.036840,33.022920,19.472020,19.827720,20.043080,20.122700,0.0 
67.078650,47.769650,36.255900,33.119200,19.468700,19.824750,20.035000,20.118100,0.0 
67.223860,47.867480,36.474960,33.215480,19.465380,19.821780,20.026920,20.113500,0.0 
67.369070,47.965310,36.694020,33.311760,19.462060,19.818810,20.018840,20.108900,0.0 
67.514280,48.063140,36.913080,33.408040,19.458740,19.815840,20.010760,20.104300,0.0 
67.659490,48.160970,37.132140,33.504320,19.455420,19.812870,20.002680,20.099700,0.0 
67.804700,48.258800,37.351200,33.600600,19.452100,19.809900,19.994600,20.095100,0.0 
68.029410,48.386250,37.519830,33.666200,19.447250,19.806810,19.987950,20.091200,0.0 
68.254120,48.513700,37.688460,33.731800,19.442400,19.803720,19.981300,20.087300,0.0 
68.478830,48.641150,37.857090,33.797400,19.437550,19.800630,19.974650,20.083400,0.0 
68.703540,48.768600,38.025720,33.863000,19.432700,19.797540,19.968000,20.079500,0.0 
68.928250,48.896050,38.194350,33.928600,19.427850,19.794450,19.961350,20.075600,0.0 
69.152960,49.023500,38.362980,33.994200,19.423000,19.791360,19.954700,20.071700,0.0 
69.377670,49.150950,38.531610,34.059800,19.418150,19.788270,19.948050,20.067800,0.0 
69.602380,49.278400,38.700240,34.125400,19.413300,19.785180,19.941400,20.063900,0.0 
69.827090,49.405850,38.868870,34.191000,19.408450,19.782090,19.934750,20.060000,0.0 
70.051800,49.533300,39.037500,34.256600,19.403600,19.779000,19.928100,20.056100,0.0 
70.329930,49.687460,39.182100,34.311270,19.397770,19.775440,19.922420,20.052510,0.0 
70.608060,49.841620,39.326700,34.365940,19.391940,19.771880,19.916740,20.048920,0.0 
70.886190,49.995780,39.471300,34.420610,19.386110,19.768320,19.911060,20.045330,0.0 
71.164320,50.149940,39.615900,34.475280,19.380280,19.764760,19.905380,20.041740,0.0 
71.442450,50.304100,39.760500,34.529950,19.374450,19.761200,19.899700,20.038150,0.0 
71.720580,50.458260,39.905100,34.584620,19.368620,19.757640,19.894020,20.034560,0.0 
71.998710,50.612420,40.049700,34.639290,19.362790,19.754080,19.888340,20.030970,0.0 
72.276840,50.766580,40.194300,34.693960,19.356960,19.750520,19.882660,20.027380,0.0 
72.554970,50.920740,40.338900,34.748630,19.351130,19.746960,19.876980,20.023790,0.0 
72.833100,51.074900,40.483500,34.803300,19.345300,19.743400,19.871300,20.020200,0.0 
73.011090,51.221330,40.617870,34.854890,19.341140,19.739750,19.866180,20.016700,0.0 
73.189080,51.367760,40.752240,34.906480,19.336980,19.736100,19.861060,20.013200,0.0 
73.367070,51.514190,40.886610,34.958070,19.332820,19.732450,19.855940,20.009700,0.0 
73.545060,51.660620,41.020980,35.009660,19.328660,19.728800,19.850820,20.006200,0.0 
73.723050,51.807050,41.155350,35.061250,19.324500,19.725150,19.845700,20.002700,0.0 
73.901040,51.953480,41.289720,35.112840,19.320340,19.721500,19.840580,19.999200,0.0 
74.079030,52.099910,41.424090,35.164430,19.316180,19.717850,19.835460,19.995700,0.0 
74.257020,52.246340,41.558460,35.216020,19.312020,19.714200,19.830340,19.992200,0.0 
